id, orderId, tokenId, type, endsAt, cancelled, category, highestBidder, highestBid,  claimed, totalBids, totalBidsVolume, platformFees, gbmFees, royaltyFees, sellerProceeds
9919,4811,356,erc1155,1677385779,false,8,0x6994ba66fd6789044c4ad43786cc16840d099c8a,13.0,false,4,26.125,0.39,0.13,0.0,11.941875 
6515,1407,350,erc1155,1677385795,false,8,0x6994ba66fd6789044c4ad43786cc16840d099c8a,9.0,false,2,12.5,0.27,0.09,0.0,8.465 
6355,1247,350,erc1155,1677385818,false,8,0x8cbf96319b3c56d50a7c82efb6d3c46bd6f889ba,3.5,true,1,3.5,0.105,0.035,0.0,3.36 
6382,1274,350,erc1155,1677385855,false,8,0xa9465d03ba38726277b3e478ac98aa063a0c8d0a,2.95,true,4,10.8825,0.0885,0.0295,0.0,2.678583166755 
6194,1086,350,erc1155,1677385875,false,8,0xd7fd128a2fd1382fb286cb82b756f7b0e983b5a1,2.86,true,3,7.985,0.0858,0.0286,0.0,2.607475 
9932,4824,356,erc1155,1677385999,false,8,0x6994ba66fd6789044c4ad43786cc16840d099c8a,9.0,false,2,14.0,0.27,0.09,0.0,8.39 
5987,879,350,erc1155,1677386035,false,8,0xdc12a60d22d556ced025ad468536f457dfdc8797,6.0,true,2,8.5,0.18,0.06,0.0,5.635 
6285,1177,350,erc1155,1677386132,false,8,0x494c1b2a2d0ff337315634dabeede6d751e68060,5.0,true,1,5.0,0.15,0.05,0.0,4.8 
9955,4847,356,erc1155,1677386147,false,8,0xfaff4170e628aef5c5ce84c47ebddb5a99517fe2,8.0,true,2,12.0,0.24,0.08,0.0,7.48 
5865,757,350,erc1155,1677386166,false,8,0x816e4e35001b150a24fe2818859f5e4064bbf995,8.0,true,1,8.0,0.24,0.08,0.0,7.68 
6204,1096,350,erc1155,1677386251,false,8,0x8cbf96319b3c56d50a7c82efb6d3c46bd6f889ba,3.0,true,1,3.0,0.09,0.03,0.0,2.88 
6564,1456,350,erc1155,1677386256,false,8,0x8cbf96319b3c56d50a7c82efb6d3c46bd6f889ba,4.0,true,1,4.0,0.12,0.04,0.0,3.84 
6874,1766,350,erc1155,1677386451,false,8,0xb53cf0a586973ab15c0a045990d06b4fa083dd5a,5.0,true,1,5.0,0.15,0.05,0.0,4.8 
9825,4717,356,erc1155,1677386496,false,8,0xa915023b3ed1e00e078789e63de079b4d6dcc348,5.251,true,2,10.251,0.15753,0.05251,0.0,4.79096 
6931,1823,350,erc1155,1677386563,false,8,0xb7039fbd301cfaa7c66ba43fc10e2c60aa18f785,5.0,true,2,7.5,0.15,0.05,0.0,4.675 
6883,1775,350,erc1155,1677386585,false,8,0x180f207f8747a966ec94277a69610162d7fa3ff1,2.8,true,2,4.8,0.084,0.028,0.0,2.588 
